model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
40	Adam	0.0003		0.8	0.95	1	166.98362636566162	168.45011186599731	4684.8876953125	0.31814676494493377	49.840128	1521	3.34237	4.433921578438292	32768
40	Adam	0.0003		0.8	0.95	1	154.64849734306335	157.16494464874268	4684.8876953125	0.34147676910787733	49.872896	761	3.34237	4.462378450201806	65536
40	Adam	0.0003		0.8	0.95	1	141.20107316970825	150.02284216880798	4684.8876953125	0.36055166037895914	50.069504	191	3.34237	4.620823721607977	262144
40	Adam	0.0003		0.8	0.95	1	114.37974166870117	148.56815481185913	4684.8876953125	0.3737845954484713	50.331648	48	3.34237	5.306599882004224	1048576
40	Adam	0.001		0.8	0.95	1	166.74144005775452	168.21172857284546	4684.8876953125	0.3186088623716318	49.840128	1521	3.34237	4.42016606131427	32768
40	Adam	0.001		0.8	0.95	1	155.06499695777893	157.5845708847046	4684.8876953125	0.3405595734443938	49.872896	761	3.34237	4.4459013802224865	65536
40	Adam	0.001		0.8	0.95	1	141.05181193351746	149.87677812576294	4684.8876953125	0.36093319667970636	50.069504	191	3.34237	4.581614872830955	262144
40	Adam	0.001		0.8	0.95	1	114.37722778320312	148.56484842300415	4684.8876953125	0.37379281082221405	50.331648	48	3.34237	5.26744571308436	1048576
40	Adam	0.04		0.8	0.95	1	165.92607426643372	167.39518070220947	4684.8876953125	0.3201745160420267	49.840128	1521	3.34237	4.480322521620694	32768
40	Adam	0.04		0.8	0.95	1	154.73878502845764	157.25611090660095	4684.8876953125	0.3412775226998549	49.872896	761	3.34237	4.496964124023516	65536
40	Adam	0.04		0.8	0.95	1	141.10235404968262	149.9259340763092	4684.8876953125	0.3608039123195884	50.069504	191	3.34237	4.643666012246131	262144
40	Adam	0.04		0.8	0.95	1	114.37538146972656	148.56610822677612	4684.8876953125	0.3737988448016875	50.331648	48	3.34237	5.280577369167162	1048576
10	Adam	0.0001		0.8	0.95	2	70.60347890853882	97.27338290214539	5176.14111328125	0.302068656285033	14.450688	441	3.53898	4.6142944636015955	32768
10	Adam	0.0001		0.8	0.95	2	64.4188802242279	67.99849891662598	5183.642578125	0.3241557831544088	14.483456	221	3.53898	4.731743835948435	65536
10	Adam	0.0001		0.8	0.95	2	52.32024621963501	65.29914736747742	5183.642578125	0.3480427039458932	14.680064	56	3.53898	5.3744789105642035	262144
10	Adam	0.0001		0.8	0.95	2	13.756998777389526	64.38778185844421	5183.642578125	0.46040577814868205	14.680064	14	3.53898	6.481721478630853	1048576
10	Adam	0.0003		0.8	0.95	2	70.52123141288757	72.52769589424133	5183.642578125	0.30242095289126664	14.450688	441	3.53898	4.604046658515054	32768
10	Adam	0.0003		0.8	0.95	2	64.41915512084961	68.00010132789612	5183.642578125	0.32415439988060574	14.483456	221	3.53898	4.71408134266769	65536
10	Adam	0.0003		0.8	0.95	2	52.32798933982849	65.30865120887756	5183.642578125	0.3479912030852043	14.680064	56	3.53898	5.367338471548944	262144
10	Adam	0.0003		0.8	0.95	2	13.760250091552734	64.38693881034851	5183.642578125	0.4602969920570516	14.680064	14	3.53898	6.481709721675741	1048576
10	Adam	0.001		0.8	0.95	2	70.49946117401123	72.50487565994263	5183.642578125	0.30251434050410814	14.450688	441	3.53898	4.590894112691163	32768
10	Adam	0.001		0.8	0.95	2	64.36029362678528	67.93958711624146	5183.642578125	0.3244508592534473	14.483456	221	3.53898	4.700245220113838	65536
10	Adam	0.001		0.8	0.95	2	52.30366230010986	65.28129243850708	5183.642578125	0.34815305782819755	14.680064	56	3.53898	5.354767289898508	262144
10	Adam	0.001		0.8	0.95	2	13.760562658309937	64.38633608818054	5183.642578125	0.46028653655884777	14.680064	14	3.53898	6.481434517018008	1048576
10	Adam	0.04		0.8	0.95	2	70.27354335784912	72.27281546592712	5183.642578125	0.30348687406224095	14.450688	441	3.53898	4.680536523887028	32768
10	Adam	0.04		0.8	0.95	2	64.27984356880188	67.85189700126648	5183.642578125	0.3248569288545932	14.483456	221	3.53898	4.78853561565803	65536
10	Adam	0.04		0.8	0.95	2	52.297372341156006	65.26833391189575	5183.642578125	0.3481949312215511	14.680064	56	3.53898	5.317145445538462	262144
10	Adam	0.04		0.8	0.95	2	13.757978677749634	64.38279938697815	5183.642578125	0.46037298613770633	14.680064	14	3.53898	6.480380310339415	1048576
20	Adam	0.0001		0.8	0.95	2	142.08376908302307	144.10352182388306	5183.642578125	0.30333895080341067	28.868608	881	3.53898	4.455564897062947	32768
20	Adam	0.0001		0.8	0.95	2	131.67145228385925	135.2707633972168	5183.642578125	0.32394414480936556	28.901376	441	3.53898	4.497847572488845	65536
20	Adam	0.0001		0.8	0.95	2	116.24229836463928	129.23144507408142	5183.642578125	0.34395503155713997	29.097984	111	3.53898	4.913672300579005	262144
20	Adam	0.0001		0.8	0.95	2	77.95891451835632	128.58881545066833	5183.642578125	0.36560421534876636	29.360128	28	3.53898	5.720097238070868	1048576
20	Adam	0.0003		0.8	0.95	2	142.13733983039856	144.16008281707764	5183.642578125	0.30322462409431356	28.868608	881	3.53898	4.446621379742468	32768
20	Adam	0.0003		0.8	0.95	2	131.61601400375366	135.21307826042175	5183.642578125	0.32408059405814765	28.901376	441	3.53898	4.489034081491127	65536
20	Adam	0.0003		0.8	0.95	2	116.23775434494019	129.23190927505493	5183.642578125	0.3439684776052661	29.097984	111	3.53898	4.883440996984555	262144
20	Adam	0.0003		0.8	0.95	2	77.97517156600952	128.61391925811768	5183.642578125	0.3655279905065279	29.360128	28	3.53898	5.719989822947336	1048576
20	Adam	0.001		0.8	0.95	2	142.147043466568	144.16788625717163	5183.642578125	0.3032039245330841	28.868608	881	3.53898	4.436273865095465	32768
20	Adam	0.001		0.8	0.95	2	131.78909754753113	135.39416980743408	5183.642578125	0.32365496691043266	28.901376	441	3.53898	4.479950438543216	65536
20	Adam	0.001		0.8	0.95	2	116.28110980987549	129.2734866142273	5183.642578125	0.3438402288011908	29.097984	111	3.53898	4.85303093300665	262144
20	Adam	0.001		0.8	0.95	2	77.95792603492737	128.5833399295807	5183.642578125	0.3656088511020093	29.360128	28	3.53898	5.720129605559733	1048576
20	Adam	0.04		0.8	0.95	2	142.1297435760498	144.14950132369995	5183.642578125	0.30324083021212866	28.868608	881	3.53898	4.512907087556589	32768
20	Adam	0.04		0.8	0.95	2	131.64116382598877	135.24488472938538	5183.642578125	0.3240186790074635	28.901376	441	3.53898	4.558392502465831	65536
20	Adam	0.04		0.8	0.95	2	116.23602104187012	129.22566533088684	5183.642578125	0.34397360683812267	29.097984	111	3.53898	4.896780254176018	262144
20	Adam	0.04		0.8	0.95	2	77.96226644515991	128.60111355781555	5183.642578125	0.36558849648084724	29.360128	28	3.53898	5.720671972963275	1048576
20	Adam	0.0001		0.8	0.95	4	1250.0314843654633	1290.551055431366	8268.42138671875	0.4786736845957037	104.890368	3201	11.534472	3.4696828488332163	32768
20	Adam	0.0001		0.8	0.95	4	1182.5218946933746	1191.2346968650818	8302.42333984375	0.5045737868807649	104.923136	1601	11.534472	3.4988758316693387	65536
20	Adam	0.0001		0.8	0.95	4	1114.838660955429	1146.6008496284485	8302.42333984375	0.5261243756385154	105.119744	401	11.534472	3.6460662186557813	262144
20	Adam	0.0003		0.8	0.95	4	1251.7246043682098	1256.391012430191	8302.42333984375	0.4780262163048759	104.890368	3201	11.534472	3.442004651760637	32768
20	Adam	0.0003		0.8	0.95	4	1182.9135234355927	1191.616056919098	8302.42333984375	0.5044067369708625	104.923136	1601	11.534472	3.472725801266824	65536
