model_scale	matrix_lr	beta1	beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads
40	0.04	0.8	0.95	12	11197.489094018936	11247.271230697632	13587.20068359375	22.67417353055403	3649.306624	13921	135.26748	2.3388283932064606	262144	6
40	0.04	0.8	0.95	12	14714.803462028503	14774.279839038849	16489.95068359375	24.249975815752666	4404.281344	16801	286.262424	2.2662086874097236	262144	6
40	0.04	0.8	0.95	12	14692.00413441658	14749.375928640366	16489.95068359375	24.287607383110412	4404.281344	16801	286.262424	2.265550093980188	262144	6
