model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M
10	Adam	0.04		0.8	0.95	4	587.1419355869293	595.6249101161957	8302.42333984375	0.5052392466804249	52.494336	801	11.534472	4.371070157752409
10	Adam	0.04		0.8	0.95	4	540.8424317836761	572.3795421123505	8302.42333984375	0.5297687022142318	52.690944	201	11.534472	4.734019535195893
10	Adam	0.04		0.8	0.95	4	450.88660860061646	575.0583255290985	8302.42333984375	0.5456324590876158	53.477376	51	11.534472	5.296553561209173
20	Adam	0.0001		0.8	0.95	4	1272.9779117107391	1311.3359596729279	8268.42138671875	0.4700452152211568	104.890368	3201	11.534472	3.705947706657497
20	Adam	0.0001		0.8	0.95	4	1205.8826851844788	1214.7444179058075	8302.42333984375	0.4947990030917255	104.923136	1601	11.534472	3.6794840029655975
20	Adam	0.0001		0.8	0.95	4	1137.9691677093506	1170.3729438781738	8302.42333984375	0.5154303043319916	105.119744	401	11.534472	3.7247665997645405
20	Adam	0.0001		0.8	0.95	4	1039.2592554092407	1166.4404520988464	8302.42333984375	0.5254134302126908	105.906176	101	11.534472	4.476830969837087
20	Adam	0.0003		0.8	0.95	4	1269.0260665416718	1273.7636499404907	8302.42333984375	0.47150897231960404	104.890368	3201	11.534472	3.691306370308306
20	Adam	0.0003		0.8	0.95	4	1205.4636323451996	1214.3313202857971	8302.42333984375	0.4949710090498934	104.923136	1601	11.534472	3.6544955016066654
20	Adam	0.0003		0.8	0.95	4	1137.1627786159515	1169.5361523628235	8302.42333984375	0.5157958081838909	105.119744	401	11.534472	3.693925797436251
20	Adam	0.0003		0.8	0.95	4	1039.2016835212708	1166.3717210292816	8302.42333984375	0.5254425381747176	105.906176	101	11.534472	4.449036053425436
20	Adam	0.001		0.8	0.95	4	1268.5313971042633	1273.2621850967407	8302.42333984375	0.471692839331964	104.890368	3201	11.534472	3.666199172778701
20	Adam	0.001		0.8	0.95	4	1205.2981791496277	1214.1612594127655	8302.42333984375	0.4950389545065277	104.923136	1601	11.534472	3.6378631648999518
20	Adam	0.001		0.8	0.95	4	1137.244385957718	1169.6209950447083	8302.42333984375	0.5157587952732802	105.119744	401	11.534472	3.66371398259875
20	Adam	0.001		0.8	0.95	4	1039.2287085056305	1166.4032859802246	8302.42333984375	0.5254288741215022	105.906176	101	11.534472	4.374842681275164
20	Adam	0.04		0.8	0.95	4	1268.2627258300781	1272.9935193061829	8302.42333984375	0.4717927636722338	104.890368	3201	11.534472	4.221157687085044
20	Adam	0.04		0.8	0.95	4	1204.719976902008	1213.5702304840088	8302.42333984375	0.49527654717672726	104.923136	1601	11.534472	4.2263039060496235
20	Adam	0.04		0.8	0.95	4	1137.1577806472778	1169.5333132743835	8302.42333984375	0.5157980751791446	105.119744	401	11.534472	4.38599000862951
20	Adam	0.04		0.8	0.95	4	1039.2940690517426	1166.4420070648193	8302.42333984375	0.525395830232214	105.906176	101	11.534472	4.871946519704498
40	Adam	0.0001		0.8	0.95	4	2381.464136123657	2425.625057220459	8300.42333984375	0.5025120197323714	209.780736	3201	11.534472	3.44755491402776	65536
