model_scale	matrix_lr	beta1	beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size	num_heads
20	0.04	0.8	0.95	2	137.40506982803345	173.3769407272339	5694.5224609375	0.31043064231629386	28.901376	441	3.539012	4.067496326801804	65536	2
20	0.04	0.8	0.95	2	161.89815592765808	168.18519973754883	6716.7783203125	0.2634732928023659	28.901376	441	3.539076	4.263115197240458	65536	4
20	0.04	0.8	0.95	2	214.09668922424316	221.9858090877533	10652.01025390625	0.19924657737014287	28.901376	441	3.539204	4.513850274450868	65536	8
20	0.04	0.8	0.95	4	1134.5336182117462	1174.8091518878937	8298.44287109375	0.5259161481837134	104.923136	1601	11.534472	3.3386080551187285	65536	2
20	0.04	0.8	0.95	4	1282.0721347332	1293.383544921875	10345.841796875	0.465400991916869	104.923136	1601	11.5346	3.3667687939822297	65536	4
