model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
40	SGD	0.04	0.99			12	16297.241041660309	16365.541130065918	16490.25537109375	21.901207624203327	4404.150272	33601	286.262424	2.418388302125654	131072
40	SGD	0.04	0.99			12	15399.853833675385	15467.633402824402	16490.25537109375	23.171234736491108	4404.281344	16801	286.262424	2.344271072965821	262144
