model_scale	stiefel_type	stiefel_lr	stiefel_momentum	stiefel_beta1	stiefel_beta2	layers	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	loss	batch_size
20	SGD	0.001	0.85			2	129.99702215194702	133.5436236858368	5183.392578125	0.32811671605866183	28.901376	441	3.53898	4.504662534345885	65536
20	SGD	0.001	0.85			2	121.97122073173523	128.57135605812073	5183.392578125	0.3424045843558818	28.966912	221	3.53898	4.626731404894839	131072
20	SGD	0.001	0.9			2	139.42933773994446	141.42678880691528	5183.392578125	0.3091138646891164	28.868608	881	3.53898	4.464116726377794	32768
20	SGD	0.001	0.9			2	129.12710618972778	132.6654233932495	5183.392578125	0.33032720444636715	28.901376	441	3.53898	4.503913219276692	65536
20	SGD	0.001	0.9			2	121.89177632331848	128.4859802722931	5183.392578125	0.34262775059780426	28.966912	221	3.53898	4.626828467418058	131072
20	SGD	0.001	0.99			2	139.76631259918213	141.75916385650635	5183.392578125	0.30836859496635605	28.868608	881	3.53898	4.461714503209442	32768
20	SGD	0.001	0.99			2	129.2996790409088	132.8329198360443	5183.392578125	0.3298863254904656	28.901376	441	3.53898	4.503429746814018	65536
20	SGD	0.001	0.99			2	122.11234903335571	128.77658462524414	5183.392578125	0.3420088587979039	28.966912	221	3.53898	4.624063835918517	131072
20	SGD	0.04	0.5			2	139.62361121177673	141.61633729934692	5183.392578125	0.3086837610471646	28.868608	881	3.53898	4.461181322293944	32768
20	SGD	0.04	0.5			2	129.0911374092102	132.62735676765442	5183.392578125	0.33041924381447696	28.901376	441	3.53898	4.501828153724807	65536
20	SGD	0.04	0.5			2	121.95244693756104	128.5433213710785	5183.392578125	0.3424572953375178	28.966912	221	3.53898	4.623483145501789	131072
20	SGD	0.04	0.85			2	139.286785364151	141.2758686542511	5183.392578125	0.3094302257544316	28.868608	881	3.53898	4.456271203827375	32768
20	SGD	0.04	0.85			2	128.98119163513184	132.51073217391968	5183.392578125	0.3307008988299953	28.901376	441	3.53898	4.499962328730664	65536
20	SGD	0.04	0.85			2	122.39400696754456	128.99326920509338	5183.392578125	0.3412218144725323	28.966912	221	3.53898	4.619378918170132	131072
20	SGD	0.04	0.9			2	140.74449229240417	142.73107743263245	5183.392578125	0.30622542124274893	28.868608	881	3.53898	4.455182182366443	32768
20	SGD	0.04	0.9			2	130.30235981941223	133.8378040790558	5183.392578125	0.3273478397859946	28.901376	441	3.53898	4.49872338813749	65536
20	SGD	0.04	0.9			2	121.88046526908875	128.4720995426178	5183.392578125	0.34265954799092274	28.966912	221	3.53898	4.61738033341188	131072
20	SGD	0.04	0.99			2	140.34299612045288	142.36089277267456	5183.392578125	0.3071014773180918	28.868608	881	3.53898	4.441655963388008	32768
20	SGD	0.04	0.99			2	129.59493565559387	133.12654447555542	5183.392578125	0.329134744271628	28.901376	441	3.53898	4.489870495292394	65536
20	SGD	0.04	0.99			2	122.07596254348755	128.66051530838013	5183.392578125	0.34211079943892925	28.966912	221	3.53898	4.613181642082409	131072
20	SGD	0.0003	0.5			4	1244.3399832248688	1284.2089614868164	8266.42138671875	0.4808630957362092	104.890368	3201	11.534472	3.5106115971977654	32768
20	SGD	0.0003	0.5			4	1179.4037997722626	1188.0878837108612	8300.42333984375	0.505907773563276	104.923136	1601	11.534472	3.5392571200203933	65536
20	SGD	0.0003	0.5			4	1141.9343886375427	1158.154396057129	8300.42333984375	0.5195520026056144	104.988672	801	11.534472	3.5816432192814216	131072
20	SGD	0.0003	0.85			4	1240.3267583847046	1244.992983341217	8300.42333984375	0.4824189855108038	104.890368	3201	11.534472	3.510580205505249	32768
20	SGD	0.0003	0.85			4	1178.4802882671356	1187.1842682361603	8300.42333984375	0.5063042262269908	104.923136	1601	11.534472	3.538177840587623	65536
20	SGD	0.0003	0.85			4	1141.7720119953156	1157.991812467575	8300.42333984375	0.5196258904823177	104.988672	801	11.534472	3.579578999107438	131072
20	SGD	0.0003	0.9			4	1239.8799679279327	1244.5486052036285	8300.42333984375	0.4825928250795259	104.890368	3201	11.534472	3.510313725467429	32768
20	SGD	0.0003	0.9			4	1178.3642613887787	1187.0294449329376	8300.42333984375	0.5063540791466633	104.923136	1601	11.534472	3.5385208126063477	65536
20	SGD	0.0003	0.9			4	1141.6628880500793	1157.888571023941	8300.42333984375	0.5196755580574047	104.988672	801	11.534472	3.5792576573403476	131072
20	SGD	0.0003	0.99			4	1239.4690952301025	1244.1332368850708	8300.42333984375	0.48275280019851596	104.890368	3201	11.534472	3.5071304248369386	32768
